bedroom,bathroom,size,address,city,zillow_days,views,price,ad_type,company,agent,link
4,3,"2,346",5222 Amboy Rd Staten Island NY 10312,Staten Island,22,"2,895","817,000",For sale,"Titan Home Realty, Inc. 718-966-1188",John Petillo ,https://www.zillow.com/homedetails/5222-Amboy-Rd-Staten-Island-NY-10312/143795079_zpid/
3,4,--,13-15 209 Bayside NY 11360,Bayside,74,977,"1,080,000",For sale,Century Titan Group Inc 347-220-8888,Titan Ren ,https://www.zillow.com/homedetails/13-15-209-Bayside-NY-11360/2075350377_zpid/
4,5,"3,332",21441 29th Ave Bayside NY 11360,Bayside,23,"2,225","2,388,800",For sale,RE/MAX 1st Choice 516-888-6000,Po Wei Tair ,https://www.zillow.com/homedetails/21441-29th-Ave-Bayside-NY-11360/2132921120_zpid/
3,3,--,10525 171st Pl Jamaica NY 11433,Jamaica,23,788,"650,000",For sale,EXP Realty 888-276-0630,Fabiana T Reyes ,https://www.zillow.com/homedetails/10525-171st-Pl-Jamaica-NY-11433/32140537_zpid/
3,2,--,252 W 85th St APT 4C New York NY 10024,New York,4,"1,173","1,325,000",For sale,Compass 646-613-2751,Richard Merton ,https://www.zillow.com/homedetails/252-W-85th-St-APT-4C-New-York-NY-10024/113087270_zpid/
1,1,--,519 E 87th St APT 2C New York NY 10128,New York,74,"3,968","300,000",For sale,The Bamberger Group 917-903-7237,Dan Bamberger ,https://www.zillow.com/homedetails/519-E-87th-St-APT-2C-New-York-NY-10128/72540388_zpid/
3,2,"1,800",143-50 Hoover Ave #116 Jamaica NY 11435,Jamaica,23,288,"449,000",For sale,Daniel Gale Great Neck LLC 516-466-4036,Milana Sadykova ,https://www.zillow.com/homedetails/143-50-Hoover-Ave-116-Jamaica-NY-11435/2075307877_zpid/
--,2,"1,200",116-116 221st St Springfield Gardens NY 11413,Springfield Gardens,147,"3,676","150,000",Contingent,1st Kander Realty Inc 718-971-4111,Karen Smith ,https://www.zillow.com/homedetails/116-116-221st-St-Springfield-Gardens-NY-11413/2076497947_zpid/
6,9,"8,643",73 W Washington Pl New York NY 10011,New York,125,"5,089","9,950,000",For sale,Nest Seekers International 646-443-3739,The Ryan Serhant Team ,https://www.zillow.com/homedetails/73-W-Washington-Pl-New-York-NY-10011/2077619027_zpid/
1,1,700,234-34 133rd Ave #1 Rosedale NY 11422,Rosedale,74,"1,655","159,000",For sale,Century 21 Milestone Realty 718-291-7000,Victor Banks ,https://www.zillow.com/homedetails/234-34-133rd-Ave-1-Rosedale-NY-11422/2075650238_zpid/
3,2,--,97-10 62nd Dr #2E Rego Park NY 11374,Rego Park,6,--,"480,000",For sale,Bold New York 973-931-1400,Diana Babayeva ,https://www.zillow.com/homedetails/97-10-62nd-Dr-2E-Rego-Park-NY-11374/2076479889_zpid/
2,2,986,775 Lafayette Ave APT 14E Brooklyn NY 11221,Brooklyn,464,"4,072","599,000",For sale,Douglas Elliman 718-486-4429,Jessica Peters ,https://www.zillow.com/homedetails/775-Lafayette-Ave-APT-14E-Brooklyn-NY-11221/2082192109_zpid/
5,2,"1,900",2049 W 13th St Brooklyn NY 11223,Brooklyn,2,683,"1,318,000",For sale,Coldwell Banker Advantage 718-447-3000,Kristina Patafio ,https://www.zillow.com/homedetails/2049-W-13th-St-Brooklyn-NY-11223/30735144_zpid/
4,2,"1,545",36 Keen Ct Brooklyn NY 11229,Brooklyn,79,"5,071","698,800",For sale,DiTommaso Real Estate 718-667-8000,Patricia Beniquez ,https://www.zillow.com/homedetails/36-Keen-Ct-Brooklyn-NY-11229/97293938_zpid/
1,1,730,315 E 72nd St APT 8D New York NY 10021,New York,15,"1,455","639,000",For sale by owner,None,Property Owner ,https://www.zillow.com/homedetails/315-E-72nd-St-APT-8D-New-York-NY-10021/81946340_zpid/
2,1,850,5620 Netherland Ave APT 3G Bronx NY 10471,Bronx,2,390,"215,000",For sale,Robert E. Hill 718-884-2200,Christine Keaveney ,https://www.zillow.com/homedetails/5620-Netherland-Ave-APT-3G-Bronx-NY-10471/2079265883_zpid/
4,4,"2,100",118-15 204th St Saint Albans NY 11412,Saint Albans,30,"1,991","669,000",For sale,Glory Homes Realty 718-441-7410,Glory Homes Realty ,https://www.zillow.com/homedetails/118-15-204th-St-Saint-Albans-NY-11412/2076688204_zpid/
3,5,"4,538",30 Park Pl #82 New York NY 10007,New York,332,"6,183","25,000,000",For sale,Corcoran 212-608-0030,30 Park Place Sales Gallery ,https://www.zillow.com/homedetails/30-Park-Pl-82-New-York-NY-10007/219636877_zpid/
4,5,"2,952",333 E 91st St #28CD New York NY 10128,New York,150,"2,649","2,995,000",For sale,Douglas Elliman 212-496-8269,Ammanda Espinal ,https://www.zillow.com/homedetails/333-E-91st-St-28CD-New-York-NY-10128/219699332_zpid/
5,6,"4,300",105 W 122nd St New York NY 10027,New York,2,"1,255","5,550,000",For sale,Corcoran 917-690-4861,Julia Boland ,https://www.zillow.com/homedetails/105-W-122nd-St-New-York-NY-10027/143177022_zpid/
3,3,"1,352",8107 229th St Jamaica NY 11427,Jamaica,36,"4,149","699,999",For sale,Capri Jet Realty Corp 347-200-0315,Javier Cortes ,https://www.zillow.com/homedetails/8107-229th-St-Jamaica-NY-11427/32090416_zpid/
2,1,750,5425 Valles Ave APT 5F Bronx NY 10471,Bronx,87,"1,667","255,000",For sale,Corcoran 718-412-1620,Jose Borges ,https://www.zillow.com/homedetails/5425-Valles-Ave-APT-5F-Bronx-NY-10471/215956449_zpid/
5,2,"1,568",13723 249th St Jamaica NY 11422,Jamaica,172,"3,103","355,000",For sale,SOWAE CORP 646-619-7424,Eric Lee ,https://www.zillow.com/homedetails/13723-249th-St-Jamaica-NY-11422/32211351_zpid/
1,1,"98,580",509 E 77th St APT 1N New York NY 10075,New York,130,503,"430,000",For sale,Corcoran,Christina Elliott ,https://www.zillow.com/homedetails/509-E-77th-St-APT-1N-New-York-NY-10075/244771222_zpid/
2,2,"1,060",68 Garden St #B3C Brooklyn NY 11206,Brooklyn,23,"3,934","395,000",For sale,RE/MAX Voyage Realty 718-228-1101,Andrew Fernandez ,https://www.zillow.com/homedetails/68-Garden-St-B3C-Brooklyn-NY-11206/2076873582_zpid/
1,1,785,15501 90th Ave APT 1T Jamaica NY 11432,Jamaica,74,"1,787","169,000",For sale,ERA/Top Service Realty Inc 718-464-5800,Michael I Blake ,https://www.zillow.com/homedetails/15501-90th-Ave-APT-1T-Jamaica-NY-11432/245418048_zpid/
5,7,"9,000",151 E 58th St PENTHOUSE 5152W New York NY 10022,New York,332,"4,419","34,000,000",For sale,Christies International Real Estate Group Inc 917-701-7012,Erin Boisson Aries ,https://www.zillow.com/homedetails/151-E-58th-St-PENTHOUSE-5152W-New-York-NY-10022/2080683647_zpid/
5,6,"3,344",214 W 11th St New York NY 10014,New York,25,"4,492","24,500,000",For sale,Compass 646-761-7038,Stephen Ferrara ,https://www.zillow.com/homedetails/214-W-11th-St-New-York-NY-10014/31500503_zpid/
5,7,"12,669",215 E 19th St New York NY 10003,New York,23,"8,608","29,500,000",For sale,Douglas Elliman 212-350-8059,Richard J Steinberg ,https://www.zillow.com/homedetails/215-E-19th-St-New-York-NY-10003/321905186_zpid/
5,4,"4,659",321 Mayfair Dr N Brooklyn NY 11234,Brooklyn,61,"4,632","1,899,000",For sale,Talk of the Town Realty 718-251-7400,Leon Zemshman ,https://www.zillow.com/homedetails/321-Mayfair-Dr-N-Brooklyn-NY-11234/30788268_zpid/
1,1,850,3311 Giles Pl APT 2D Bronx NY 10463,Bronx,23,415,"199,000",For sale,RE/MAX In The City 929-222-4200,Angel Colon JR ,https://www.zillow.com/homedetails/3311-Giles-Pl-APT-2D-Bronx-NY-10463/244466253_zpid/
4,8,"4,000",10 Bank St New York NY 10014,New York,380,"3,607","9,800,000",For sale,Leslie J. Garfield 212-574-6969,Matthew Pravda ,https://www.zillow.com/homedetails/10-Bank-St-New-York-NY-10014/300186226_zpid/
1,1,--,328 W 17th St APT 3E New York NY 10011,New York,7,"1,895","560,000",For sale,Charles H Greenthal 917-685-7936,Bernard Gawley ,https://www.zillow.com/homedetails/328-W-17th-St-APT-3E-New-York-NY-10011/72537042_zpid/
7,6,"2,075",106 Westervelt Ave Staten Island NY 10301,Staten Island,30,"1,852","639,000",For sale,"Homes R Us Realty of NY, Inc. 718-668-2550",Nikolay Mashkov ,https://www.zillow.com/homedetails/106-Westervelt-Ave-Staten-Island-NY-10301/32271499_zpid/
1,1,695,91 Grand Ave APT 4A Brooklyn NY 11205,Brooklyn,16,641,"789,000",For sale by owner,None,Property Owner ,https://www.zillow.com/homedetails/91-Grand-Ave-APT-4A-Brooklyn-NY-11205/122026367_zpid/
3,3,"1,240",40 Sable Loop Staten Island NY 10306,Staten Island,74,"3,558","448,000",Pending,Momentum Real Estate LLC 718-382-0001,Raymond Ng ,https://www.zillow.com/homedetails/40-Sable-Loop-Staten-Island-NY-10306/32340731_zpid/
3,4,"4,200",15 E 16th St #2 New York NY 10003,New York,30,"3,364","4,500,000",For sale,"HIllside Parsons, LLC",Samantha Greene ,https://www.zillow.com/homedetails/15-E-16th-St-2-New-York-NY-10003/219653017_zpid/
1,1,675,920 Metcalf Ave APT 12K Bronx NY 10473,Bronx,63,"3,585","80,000",For sale,Compass,Mandy Nembaware ,https://www.zillow.com/homedetails/920-Metcalf-Ave-APT-12K-Bronx-NY-10473/215951675_zpid/
3,2,"1,408",4709 188th St Flushing NY 11358,Flushing,66,"3,593","650,000",For sale,Cross Island Realty One Inc 718-831-0100,Birendar Gupta ,https://www.zillow.com/homedetails/4709-188th-St-Flushing-NY-11358/32051349_zpid/
1,1,750,814 Tilden St #3C Bronx NY 10467,Bronx,102,"2,818","99,000",For sale,Pantiga Group,Joseph Vega ,https://www.zillow.com/homedetails/814-Tilden-St-3C-Bronx-NY-10467/2109283828_zpid/
2,2,"1,300",303 E 57th St APT 24B New York NY 10022,New York,378,"4,721","560,000",For sale,Brown Harris Stevens 212-381-3372,Elayne Reimer ,https://www.zillow.com/homedetails/303-E-57th-St-APT-24B-New-York-NY-10022/72525879_zpid/
3,5,"1,987",368 Peter Ave Staten Island NY 10306,Staten Island,8,"3,060","999,998",For sale,Coldwell Banker Advantage 718-447-3000,Matthew Jablonsky ,https://www.zillow.com/homedetails/368-Peter-Ave-Staten-Island-NY-10306/32334203_zpid/
1,1,600,82-16 34th Ave #3 Jackson Heights NY 11372,Jackson Heights,74,"3,167","158,000",For sale,"Brett S Rovner, REALTOR 516-668-0213",Vernalie Velilla Panchame ,https://www.zillow.com/homedetails/82-16-34th-Ave-3-Jackson-Heights-NY-11372/2076509191_zpid/
2,2,--,205 W 57th St #11BDE New York NY 10019,New York,350,"4,948","975,000",For sale,Sotheby's International Realty 212-606-7772,Cathy Taub ,https://www.zillow.com/homedetails/205-W-57th-St-11BDE-New-York-NY-10019/92344311_zpid/
2,1,"1,050",1170 Ocean Pkwy APT 7J Brooklyn NY 11230,Brooklyn,143,"4,857","225,000",For sale,Douglas Elliman Real Estate 718-840-2100,Michael Mizrahi Menahem ,https://www.zillow.com/homedetails/1170-Ocean-Pkwy-APT-7J-Brooklyn-NY-11230/245038074_zpid/
1,1,547,683 41st St Brooklyn NY 11232,Brooklyn,10,"1,655","385,000",For sale,Corcoran 917-885-0960,Casey Lichtman ,https://www.zillow.com/homedetails/683-41st-St-Brooklyn-NY-11232/2075575900_zpid/
4,5,"2,462",582 Lexington Ave Brooklyn NY 11221,Brooklyn,68,"4,309","1,695,000",For sale,Corcoran 718-923-8078,Judy Liebman ,https://www.zillow.com/homedetails/582-Lexington-Ave-Brooklyn-NY-11221/30603064_zpid/
1,1,--,246 E 90th St APT 5B New York NY 10128,New York,85,"4,302","299,000",For sale,R New York 212-688-1000,Federico Pina ,https://www.zillow.com/homedetails/246-E-90th-St-APT-5B-New-York-NY-10128/94639449_zpid/
2,3,--,99-62 164th Rd Howard Beach NY 11414,Howard Beach,23,306,"460,000",For sale,Jerry Fink Real Estate Inc 718-766-9175,Gerald R Fink ,https://www.zillow.com/homedetails/99-62-164th-Rd-Howard-Beach-NY-11414/2078500868_zpid/
4,2,"1,400",12116 235th St Jamaica NY 11422,Jamaica,31,"2,315","569,000",For sale,Empire Home Sales,David Panah ,https://www.zillow.com/homedetails/12116-235th-St-Jamaica-NY-11422/32198664_zpid/
6,5,"4,511",310 E 46th St PENTHOUSE HJ New York NY 10017,New York,133,"9,888","3,500,000",For sale,Douglas Elliman 212-418-2028,Madeline Hult Elghanayan ,https://www.zillow.com/homedetails/310-E-46th-St-PENTHOUSE-HJ-New-York-NY-10017/2077720533_zpid/
3,3,"1,440",10545 63rd Rd Flushing NY 11375,Flushing,3,300,"1,200,000",For sale,Winzone Realty Inc 718-899-7000,Benyamin Borukhov ,https://www.zillow.com/homedetails/10545-63rd-Rd-Flushing-NY-11375/31978250_zpid/
5,3,"1,442",15905 134th Ave Jamaica NY 11434,Jamaica,84,"4,002","649,999",For sale,Keystone Realty USA Corp 347-419-5268,Keystone Realty Of Greater New York ,https://www.zillow.com/homedetails/15905-134th-Ave-Jamaica-NY-11434/32188113_zpid/
4,1,"1,500",21-77 33rd St #5F Astoria NY 11105,Astoria,204,"2,663","395,000",For sale,Beekman Street Realty 646-434-9508,Jennylee Marcelin ,https://www.zillow.com/homedetails/21-77-33rd-St-5F-Astoria-NY-11105/2078653756_zpid/
4,2,"2,216",120 Jefferson Ave Brooklyn NY 11216,Brooklyn,78,"3,114","1,750,000",For sale,Corcoran 917-654-1829,Riana Bodine ,https://www.zillow.com/homedetails/120-Jefferson-Ave-Brooklyn-NY-11216/30610030_zpid/
2,1,800,944 E 178th St #A Bronx NY 10460,Bronx,23,"2,291","159,000",For sale,Comres Realty Group LLC 917-567-6544,Endrit A Haxhiu ,https://www.zillow.com/homedetails/944-E-178th-St-A-Bronx-NY-10460/215949239_zpid/
3,2,--,33-47 91st St APT 5F Jackson Heights NY 11372,Jackson Heights,65,"3,569","435,000",For sale,Horowitz Real Estate 718-747-4883,Rachel Epstein ,https://www.zillow.com/homedetails/33-47-91st-St-APT-5F-Jackson-Heights-NY-11372/2076991292_zpid/
3,3,"1,260",43 Paris Ct Staten Island NY 10310,Staten Island,29,"4,243","299,000",For sale,Xenon NY Properties 888-693-0222,George B Eronini ,https://www.zillow.com/homedetails/43-Paris-Ct-Staten-Island-NY-10310/316675090_zpid/
5,3,--,98-11 217th Ln Queens Village NY 11429,Queens Village,317,"4,902","748,000",For sale,Amorelli Realty 347-825-1848,Jose Evertz ,https://www.zillow.com/homedetails/98-11-217th-Ln-Queens-Village-NY-11429/2080380723_zpid/
5,5,"3,326",69 Carlton Ave #MF Brooklyn NY 11205,Brooklyn,17,"1,846","1,990,000",For sale,Massada Home Sales 917-365-1926,Daniel Yellinek ,https://www.zillow.com/homedetails/69-Carlton-Ave-MF-Brooklyn-NY-11205/2078157259_zpid/
4,2,"1,600",422 Thieriot Ave Bronx NY 10473,Bronx,127,"7,995","199,000",For sale,SOWAE CORP 646-619-7424,Eric Lee ,https://www.zillow.com/homedetails/422-Thieriot-Ave-Bronx-NY-10473/29791274_zpid/
6,4,"2,400",103 Dolphin Ct Bronx NY 10473,Bronx,23,"1,039","819,000",For sale,Howard Hanna Rand Realty 347-202-4965,Mildred M Valentin ,https://www.zillow.com/homedetails/103-Dolphin-Ct-Bronx-NY-10473/124760986_zpid/
2,1,--,508 E 78th St APT 6A New York NY 10075,New York,205,"2,982","399,500",For sale,Compass 917-331-7588,David Gomez Pearlberg ,https://www.zillow.com/homedetails/508-E-78th-St-APT-6A-New-York-NY-10075/72530420_zpid/
3,2,--,125-07 107th Ave South Richmond Hill NY 11419,South Richmond Hill,2,92,"629,000",For sale,Realty Masters Inc 718-848-1700,Swapan K Das ,https://www.zillow.com/homedetails/125-07-107th-Ave-South-Richmond-Hill-NY-11419/2075309658_zpid/
3,1,"1,025",370 Union St APT 3B Brooklyn NY 11231,Brooklyn,27,"2,165","1,300,000",For sale by owner,None,Property Owner ,https://www.zillow.com/homedetails/370-Union-St-APT-3B-Brooklyn-NY-11231/2076654231_zpid/
4,2,"2,350",14720 257th St Jamaica NY 11422,Jamaica,9,"1,537","698,500",For sale,Honorable Homes Realty Inc.,Lisa. Liat Rubin ,https://www.zillow.com/homedetails/14720-257th-St-Jamaica-NY-11422/32212144_zpid/
3,3,"1,200",4734 190th St Flushing NY 11358,Flushing,2,927,"848,888",For sale,Maureen Folan R E Group LLC 718-767-8200,Maureen Ramsbottom ,https://www.zillow.com/homedetails/4734-190th-St-Flushing-NY-11358/32051389_zpid/
2,2,--,15218 Union Tpke APT 4D Flushing NY 11367,Flushing,2,118,"519,000",For sale,Laffey Real Estate 917-226-5868,Nili Puder ,https://www.zillow.com/homedetails/15218-Union-Tpke-APT-4D-Flushing-NY-11367/2075329201_zpid/
6,7,"7,261",24 Leonard St New York NY 10013,New York,31,"8,826","35,950,000",For sale,Bespoke Real Estate LLC 631-500-9030,Zachary Vichinsky ,https://www.zillow.com/homedetails/24-Leonard-St-New-York-NY-10013/321899070_zpid/
2,2,--,205 E 63rd St APT 15D New York NY 10065,New York,198,"6,989","575,000",For sale,Compass 917-414-7653,Julie Perlin ,https://www.zillow.com/homedetails/205-E-63rd-St-APT-15D-New-York-NY-10065/2078579913_zpid/
3,2,"1,224",637A Westwood Ave Staten Island NY 10314,Staten Island,122,"7,057","473,000",For sale,Exit Realty Top Properties 718-256-4000,Yongda Simon Liang ,https://www.zillow.com/homedetails/637A-Westwood-Ave-Staten-Island-NY-10314/2077578312_zpid/
7,3,"1,840",11415 118th St Jamaica NY 11420,Jamaica,164,"3,111","520,000",For sale,JOSHUAS REALTY,joshua harris ,https://www.zillow.com/homedetails/11415-118th-St-Jamaica-NY-11420/32172944_zpid/
3,3,--,10711 91st St Ozone Park NY 11417,Ozone Park,28,"2,990","699,000",For sale,Menora Home Management Corp 718-808-2030,Haim Russo ,https://www.zillow.com/homedetails/10711-91st-St-Ozone-Park-NY-11417/2076666405_zpid/
6,5,"8,250",212 Columbia Hts Brooklyn NY 11201,Brooklyn,3,"1,442","18,250,000",For sale,Leslie J. Garfield 212-574-6979,Ravi Kantha ,https://www.zillow.com/homedetails/212-Columbia-Hts-Brooklyn-NY-11201/30567231_zpid/
3,2,"1,206",87 Admiral Ct #88 Bronx NY 10473,Bronx,23,"2,347","455,000",For sale,Howard Hanna Rand Realty 347-202-4965,Mildred M Valentin ,https://www.zillow.com/homedetails/87-Admiral-Ct-88-Bronx-NY-10473/79710903_zpid/
3,2,"1,300",3135 Johnson Ave APT 5E Bronx NY 10463,Bronx,344,"1,944","450,000",For sale,Brown Harris Stevens 212-381-2485,Sanjya Tidke ,https://www.zillow.com/homedetails/3135-Johnson-Ave-APT-5E-Bronx-NY-10463/215954610_zpid/
2,1,600,526 W 158th St #55 New York NY 10032,New York,17,"2,664","125,000",For sale,ADCNY Realty Corp 917-659-6162,Bruno Ruiz-Castano ,https://www.zillow.com/homedetails/526-W-158th-St-55-New-York-NY-10032/2075666728_zpid/
2,2,"4,414",150 E 49th St New York NY 10017,New York,29,"2,202","2,150,000",For sale,Stephen P. Wald 917-375-2079,Matthew Nesi ,https://www.zillow.com/homedetails/150-E-49th-St-New-York-NY-10017/30650643_zpid/
6,7,"4,750",210 W 122nd St New York NY 10027,New York,129,"2,081","3,850,000",For sale,Compass 646-431-2260,Dylan Hoffman ,https://www.zillow.com/homedetails/210-W-122nd-St-New-York-NY-10027/2138635696_zpid/
4,3,"2,200",2153 Gerritsen Ave Brooklyn NY 11229,Brooklyn,2,442,"945,000",For sale,Diamond Real Inc 718-734-2710,Alexander Bragynsky ,https://www.zillow.com/homedetails/2153-Gerritsen-Ave-Brooklyn-NY-11229/143065294_zpid/
4,4,"1,748",222 Johnson Ave Staten Island NY 10307,Staten Island,7,"1,899","673,900",For sale,"Advanced Real Estate Group, In 917-648-8726",Philese J Blackler ,https://www.zillow.com/homedetails/222-Johnson-Ave-Staten-Island-NY-10307/32377763_zpid/
4,2,"1,804",114-04 204th St Saint Albans NY 11412,Saint Albans,8,920,"674,900",For sale,Spot Real Estate,Leclercson Sarrazin ,https://www.zillow.com/homedetails/114-04-204th-St-Saint-Albans-NY-11412/2075421099_zpid/
4,4,"6,398",551 W 21st St New York NY 10011,New York,6,"3,772","49,995,000",For sale,Corcoran 917-710-1150,Deborah Kern ,https://www.zillow.com/homedetails/551-W-21st-St-New-York-NY-10011/2075377420_zpid/
3,2,"1,161",2237 Bath Ave #3A Brooklyn NY 11214,Brooklyn,17,"3,102","589,000",For sale,Keystone Realty USA Corp 347-419-5268,Keystone Realty Of Greater New York ,https://www.zillow.com/homedetails/2237-Bath-Ave-3A-Brooklyn-NY-11214/83044004_zpid/
5,7,"5,383",301 E 81st St PENTHOUSE 20 New York NY 10028,New York,93,"3,205","16,995,000",For sale,Douglas Elliman 212-891-7000,Barbara Russo ,https://www.zillow.com/homedetails/301-E-81st-St-PENTHOUSE-20-New-York-NY-10028/2077255511_zpid/
3,2,"1,648",115A Nelson Ave Staten Island NY 10308,Staten Island,109,"4,875","549,999",For sale,"Robert DeFalco Realty, Inc. 718-987-7900",Ann Grande ,https://www.zillow.com/homedetails/115A-Nelson-Ave-Staten-Island-NY-10308/2076638463_zpid/
1,1,"1,085",40 Sutton Pl PENTHOUSE M New York NY 10022,New York,10,865,"895,000",For sale,Douglas Elliman 212-572-3107,Jillian Adler ,https://www.zillow.com/homedetails/40-Sutton-Pl-PENTHOUSE-M-New-York-NY-10022/2075578067_zpid/
6,5,"6,075",32 1st Pl Brooklyn NY 11231,Brooklyn,219,"4,423","8,000,000",For sale,Engel and Volkers Brownstone Brooklyn 917-568-6525,"Donald P Brennan, Jr ",https://www.zillow.com/homedetails/32-1st-Pl-Brooklyn-NY-11231/2078888412_zpid/
3,2,"1,166",1732 Forest Hill Rd Staten Island NY 10314,Staten Island,30,"4,890","408,500",New construction,Thomas Gugliucci Real Estate 347-302-2420,Thomas Gugliucci ,https://www.zillow.com/homedetails/1732-Forest-Hill-Rd-Staten-Island-NY-10314/32315469_zpid/
4,3,"1,725",4562 167th St Flushing NY 11358,Flushing,23,"1,161","1,180,000",For sale,Coldwell Banker Kueber Realty 718-628-0100,David Kueber ,https://www.zillow.com/homedetails/4562-167th-St-Flushing-NY-11358/32048097_zpid/
2,2,"1,200",44 Gramercy Park N APT 4C New York NY 10010,New York,204,"2,631","2,150,000",For sale,Douglas Elliman 212-769-6553,Jessica Cohen ,https://www.zillow.com/homedetails/44-Gramercy-Park-N-APT-4C-New-York-NY-10010/83940589_zpid/
3,6,"4,500",151 E 58th St PENTHOUSE 53W New York NY 10022,New York,214,"2,731","17,500,000",For sale,Brown Harris Stevens 212-906-0507,Frans Preidel ,https://www.zillow.com/homedetails/151-E-58th-St-PENTHOUSE-53W-New-York-NY-10022/65322626_zpid/
2,1,840,2701 Goethals Rd N APT F20 Staten Island NY 10303,Staten Island,146,"5,068","99,000",For sale,Great American Homes Realty LLC 718-909-9400,Guenael Oristel ,https://www.zillow.com/homedetails/2701-Goethals-Rd-N-APT-F20-Staten-Island-NY-10303/2127299811_zpid/
2,1,700,67-34 Springfield Blvd Oakland Gardens NY 11364,Oakland Gardens,23,610,"329,000",For sale,Keller Williams Realty Elite 516-795-6900,Cristina M Capurro ,https://www.zillow.com/homedetails/67-34-Springfield-Blvd-Oakland-Gardens-NY-11364/219874040_zpid/
4,3,--,2060 32nd St Astoria NY 11105,Astoria,4,648,"1,328,000",For sale,Compass 646-623-3424,Ellie Wald ,https://www.zillow.com/homedetails/2060-32nd-St-Astoria-NY-11105/2142391044_zpid/
4,5,"2,230",16 Covington Cir Staten Island NY 10312,Staten Island,30,"2,218","1,199,000",New construction,Get Listed Get Sold NYC 718-218-3703,Anthony D'Alessandro ,https://www.zillow.com/homedetails/16-Covington-Cir-Staten-Island-NY-10312/89076594_zpid/
4,3,"1,818",1084 Gipson St Far Rockaway NY 11691,Far Rockaway,74,939,"549,888",For sale,Realty Connect USA LI Inc 631-881-5160,Kevin Iglesias ,https://www.zillow.com/homedetails/1084-Gipson-St-Far-Rockaway-NY-11691/32222149_zpid/
6,5,"4,500",230 W 56th St #65AD New York NY 10019,New York,655,"2,505","11,750,000",For sale,Douglas Elliman 212-319-2390,The Shemesh Team ,https://www.zillow.com/homedetails/230-W-56th-St-65AD-New-York-NY-10019/61966840_zpid/
10,17,"14,750",10 E 62nd St New York NY 10065,New York,328,"8,406","49,998,000",For sale,Compass,Silvette Julian ,https://www.zillow.com/homedetails/10-E-62nd-St-New-York-NY-10065/31533266_zpid/
5,2,"1,842",10465 Springfield Blvd Jamaica NY 11429,Jamaica,341,"5,522","500,000",Foreclosure,MACH REALTY LLC 929-299-6202,Alex Cohen ,https://www.zillow.com/homedetails/10465-Springfield-Blvd-Jamaica-NY-11429/83056483_zpid/
3,3,"1,954",32 Wandel Ave Staten Island NY 10304,Staten Island,243,"9,304","549,999",For sale,Casandra Properties Inc. 718-866-8683,Robert Nixon ,https://www.zillow.com/homedetails/32-Wandel-Ave-Staten-Island-NY-10304/112115141_zpid/
4,6,"4,500",230 Central Park S #16 New York NY 10019,New York,11,"1,123","13,750,000",For sale,SERHANT. 917-524-0000,Chase Landow ,https://www.zillow.com/homedetails/230-Central-Park-S-16-New-York-NY-10019/2079641972_zpid/
1,1,700,6797 136th St #A Flushing NY 11367,Flushing,74,276,"268,000",For sale,Avenue & Street Realty Inc 347-561-6517,Xiao X Wang ,https://www.zillow.com/homedetails/6797-136th-St-A-Flushing-NY-11367/2080907297_zpid/
3,3,"2,300",104-51 120th St South Richmond Hill NY 11419,South Richmond Hill,205,"1,155","689,000",For sale,Keystone Realty USA Corp 347-419-5268,Keystone Realty Of Greater New York ,https://www.zillow.com/homedetails/104-51-120th-St-South-Richmond-Hill-NY-11419/2080380639_zpid/
2,1,725,566-68 W 159th St #41 New York NY 10032,New York,23,619,"425,000",For sale,Howard Hanna Rand Realty 914-964-2002,Luis Fontana ,https://www.zillow.com/homedetails/566-68-W-159th-St-41-New-York-NY-10032/2079361611_zpid/
6,3,"3,400",114 W 130th St New York NY 10027,New York,28,"4,289","1,995,000",For sale,Corcoran 646-226-4193,Tamara Marotta ,https://www.zillow.com/homedetails/114-W-130th-St-New-York-NY-10027/143177278_zpid/
5,6,"5,500",162 E 63rd St New York NY 10065,New York,172,"2,969","8,750,000",For sale,Douglas Elliman 212-891-7621,George Vanderploeg ,https://www.zillow.com/homedetails/162-E-63rd-St-New-York-NY-10065/31534429_zpid/
2,1,--,5425 Valles Ave APT 5F Bronx NY 10471,Bronx,23,502,"255,000",For sale,Corcoran 929-487-3500,Jose A Borges ,https://www.zillow.com/homedetails/5425-Valles-Ave-APT-5F-Bronx-NY-10471/244472283_zpid/
1,1,575,306 Garfield Pl APT 2F Brooklyn NY 11215,Brooklyn,9,"2,617","528,000",For sale,Avenue Sotheby's International Realty,Peter Darnell ,https://www.zillow.com/homedetails/306-Garfield-Pl-APT-2F-Brooklyn-NY-11215/245032589_zpid/
2,1,829,1551 Unionport Rd APT 10B Bronx NY 10462,Bronx,74,461,"275,000",For sale,Besmatch Real Estate 718-324-6060,Bryant Moran ,https://www.zillow.com/homedetails/1551-Unionport-Rd-APT-10B-Bronx-NY-10462/29802132_zpid/
1,1,800,740 E 232nd St #TA Bronx NY 10466,Bronx,72,"5,006","70,000",For sale,Soler Realty 917-710-3528,Amanda D Melendez ,https://www.zillow.com/homedetails/740-E-232nd-St-TA-Bronx-NY-10466/2078136591_zpid/
